"bloc","periode","type_brique","numero_cible","etat_relationnel","statut_utilisateur","ton","modele_texte","jours_refroidissement","poids","actif","tags","langue","version"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Une énergie d’élan se présente : tu peux ouvrir un nouveau chapitre, même avec un petit pas concret.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Le climat porte la décision : ce qui était flou peut se clarifier si tu choisis une direction simple.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Tu sens une poussée d’affirmation : c’est le bon moment pour te positionner avec calme et respect.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Une dynamique de démarrage s’installe : avance sans te justifier trop longtemps, l’action parle.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","L’énergie favorise l’initiative : mieux vaut commencer imparfaitement que remettre à plus tard.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Une force de renouveau t’accompagne : tu peux relancer un projet ou une discussion avec un ton neuf.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Le moment invite à prendre les devants : une décision courte vaut mieux qu’une hésitation longue.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","1","indifferent","indifferent","direct_doux","Une impulsion constructive se lève : pose une intention claire et prépare un premier geste mesurable.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Mets ton attention sur une chose à initier : un appel, un message, une démarche ou une décision simple.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Choisis une direction claire et évite de multiplier les options : un seul cap suffit.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Concentre-toi sur le premier pas, pas sur toute la montagne : l’élan se crée en marchant.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Fais passer la clarté avant la vitesse : savoir où tu vas rend tout plus léger.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Priorité au concret : une action courte vaut mieux qu’un long plan non exécuté.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Recentre-toi sur ce que tu veux vraiment construire : l’intention donne la puissance.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Rassemble ton énergie : moins de dispersion, plus de résultat.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","focus","1","indifferent","indifferent","direct_doux","Mets ton focus sur ton positionnement : dire oui à l’essentiel, non au reste.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Attention à l’impatience : vouloir tout accélérer peut créer des frictions inutiles.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Garde l’égo sous contrôle : diriger seul fatigue le lien et ferme la coopération.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Évite la précipitation : une décision trop rapide peut te forcer à corriger après.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Ne confonds pas courage et dureté : la fermeté peut rester respectueuse.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Attention à la dispersion : trop de débuts en même temps te vide.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Évite les réactions “tout ou rien” : avance par étapes, c’est plus sûr.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Ne cherche pas à convaincre tout le monde : clarifie d’abord tes propres raisons.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","alerte","1","indifferent","indifferent","direct_doux","Attention au ton : une parole trop directe peut être mal reçue.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Pose une intention claire, puis fais une action courte et mesurable : un message, un appel, un pas concret.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Choisis une priorité et termine-la : la confiance revient quand tu vois un résultat.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Si tu hésites, écris 3 options et tranche la plus simple : la clarté libère.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Dis les choses avec calme et fermeté : une phrase nette évite dix explications.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Commence par ce que tu contrôles : ton attitude, ton ton, ton premier geste.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Fais un petit “oui” à l’essentiel et un “non” au reste : tu gagneras en énergie.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Prends les devants avec respect : propose plutôt que critiquer.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","conseil","1","indifferent","indifferent","direct_doux","Respire 30 secondes, puis décide : l’action alignée est plus forte que l’action pressée.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","L’énergie du moment est douce : elle invite à ralentir légèrement pour retrouver l’équilibre.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Le climat favorise la coopération : avancer à deux sera plus efficace que vouloir tout porter seul.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Une sensibilité accrue se fait sentir : ce qui est dit et ce qui est ressenti comptent autant.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Le moment met l’accent sur l’harmonie : une attitude calme peut apaiser beaucoup de choses.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Une énergie de rapprochement est présente : la qualité du lien passe avant la vitesse.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Le rythme devient plus fin : les nuances, les regards, les intentions prennent de l’importance.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","Une vibration d’accord et de paix circule : tu peux consolider la confiance par de petits gestes.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","energie","2","indifferent","indifferent","direct_doux","L’ambiance encourage la diplomatie : l’écoute ouvre des portes que la force ferme.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Mets ton attention sur l’écoute : comprendre d’abord, répondre ensuite.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Concentre-toi sur l’équilibre : ce qui est juste pour toi et respectueux de l’autre.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Priorité au dialogue doux : une phrase bien posée vaut mieux qu’un débat.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Focus sur la coopération : demander, proposer, ajuster.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Recentre-toi sur les émotions : nommer ce que tu ressens clarifie la relation.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Mets ton attention sur la paix : calmer le ton avant de parler du fond.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Focus sur les détails : les petites attentions construisent la confiance.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","focus","2","indifferent","indifferent","direct_doux","Concentre-toi sur le rythme : avancer lentement mais ensemble.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","alerte","2","indifferent","indifferent","direct_doux","Attention à l’hypersensibilité : interpréter trop vite peut te faire souffrir inutilement.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","alerte","2","indifferent","indifferent","direct_doux","Évite les non-dits : ce que tu gardes en toi grossit dans l’ombre.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","alerte","2","indifferent","indifferent","direct_doux","Attention aux compromis injustes : s’effacer n’est pas aimer.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
"1","toutes","alerte","2","indifferent","indifferent","direct_doux","Ne laisse pas les émotions décider : respire avant de répondre.","21","1.0","True","{""écoute"",""équilibre"",""douceur""}","fr","1"
